jd mag magerr filt field flux fluxerr adjflux
2458288 18.359 0.018 zr 431 164.5986424217617 2.728817138645322 -2.7225877403669756
2458291 18.375 0.031 zr 431 162.1908123100145 4.630881018405868 -5.130417852114164
2458300 18.309 0.031 zr 431 172.35593745024872 4.9211162320482655 5.034707288120046
2458303 18.353 0.023 zr 431 165.5107661042443 3.506144129407246 -1.81046405788436
2458306 18.309 0.028 zr 431 172.35593745024872 4.444879177333918 5.034707288120046
2458331 18.361 0.022 zr 431 164.29571960534955 3.3290828982928655 -3.0255105567791247
2458337 18.327 0.021 zr 431 169.52207081774165 3.2788475428666684 2.2008406556129785
2458340 18.353 0.037 zr 431 165.5107661042443 5.640318816872527 -1.81046405788436
2458344 18.336 0.02 zr 431 168.12265853387817 3.0969338186770887 0.8014283717494948
2458362 18.335 0.029 zr 431 168.27757655624598 4.494691895457486 0.956346394117304
2458487 18.272 0.036 zr 431 178.33075527182507 5.912953037442342 11.009525109696398
2458487 18.408 0.057 zr 431 157.33532766041813 8.259937945646447 -9.985902501710541
2458488 18.336 0.041 zr 431 168.12265853387817 6.348714328288032 0.8014283717494948
2458488 18.309 0.032 zr 431 172.35593745024872 5.079861916953049 5.034707288120046
2458488 18.345 0.032 zr 431 166.73479846106696 4.914189586173689 -0.5864317010617128
2458493 18.336 0.027 zr 431 168.12265853387817 4.18086065521407 0.8014283717494948
2458493 18.319 0.026 zr 431 170.7757687176463 4.089547688656054 3.4545385555176154
2458493 18.35 0.028 zr 431 165.96872164916084 4.280159568973523 -1.3525085129678303
2458493 18.352 0.033 zr 431 165.66327737660407 5.035190066859564 -1.6579527855246
2458494 18.357 0.025 zr 431 164.90212375688046 3.7970117196565227 -2.4191064052482147
2458494 18.322 0.028 zr 431 170.30454914419587 4.391976020639171 2.9833189820672033
2458494 18.323 0.031 zr 431 170.14776507056203 4.858068372475842 2.8265349084333593
2458494 18.327 0.037 zr 431 169.52207081774165 5.77701709933651 2.2008406556129785
2458495 18.378 0.042 zr 431 161.74328110597898 6.256784821838422 -5.577949056149691
2458495 18.293 0.03 zr 431 174.91467558233225 4.833071094501214 7.5934454202035795
2458495 18.335 0.024 zr 431 168.27757655624598 3.719745016930333 0.956346394117304
2458495 18.323 0.03 zr 431 170.14776507056203 4.70135648949275 2.8265349084333593
2458558 18.362 0.052 zr 431 164.14446732037115 7.8614973538261665 -3.1767628417575224
2458573 18.341 0.02 zr 431 167.35020508416264 3.0827047002903147 0.028974922033967232
2458584 18.38 0.024 zr 431 161.44561321803326 3.5687257183212084 -5.8756169440954125
2458587 18.304 0.033 zr 431 173.1514963107555 5.262787915898821 5.8302661486268335
2458597 18.313 0.031 zr 431 171.72212295696258 4.90301952567911 4.400892794833908
2458606 18.34 0.022 zr 431 167.50441132287364 3.394099812600569 0.18318116074496515
2458617 18.299 0.026 zr 431 173.95072730411616 4.1655780567016745 6.6294971419874855
2458628 18.38 0.024 zr 431 161.44561321803326 3.5687257183212084 -5.8756169440954125
2458633 18.347 0.018 zr 431 166.427944321806 2.7591444263018414 -0.893285840322676
2458636 18.361 0.017 zr 431 164.29571960534955 2.5724731486808508 -3.0255105567791247
2458639 18.331 0.018 zr 431 168.8986774667167 2.8001057541211525 1.57744730458802
2458642 18.371 0.017 zr 431 162.78944739412546 2.548888573091872 -4.531782768003211
2458645 18.322 0.024 zr 431 170.30454914419587 3.7645508748335748 2.9833189820672033
2458648 18.368 0.059 zr 431 163.23987325972192 8.870619290501725 -4.081356902406753
2458654 18.24 0.034 zr 431 183.66493477333097 5.751496316441222 16.3437046112023
2458665 18.311 0.018 zr 431 172.0387383213272 2.852163606788579 4.71750815919853
2458668 18.328 0.02 zr 431 169.36600710149244 3.119837145694562 2.0447769393637714
2458672 18.361 0.021 zr 431 164.29571960534955 3.1777609483704627 -3.0255105567791247
2458678 18.416 0.046 zr 431 156.18029863405349 6.6169790651559905 -11.140931528075185
2458685 18.381 0.031 zr 431 161.29698476954002 4.605360405172858 -6.024245392588654
2458692 18.32 0.031 zr 431 170.61855083455362 4.871510273574636 3.297320672424945
2458695 18.342 0.021 zr 431 167.19614080926013 3.2338600680417016 -0.1250893528685424
2458698 18.338 0.027 zr 431 167.81325021509386 4.173166314203273 0.4920200529651879
2458707 18.351 0.034 zr 431 165.8159291817449 5.192551899321854 -1.5053009803837654
2458712 18.316 0.031 zr 431 171.24829211937129 4.889490681470951 3.927061957242614
2458715 18.382 0.026 zr 431 161.14849314988479 3.8590044280879297 -6.172737012243886
2458718 18.334 0.038 zr 431 168.43263732911467 5.895023294292917 1.1114071669859982
2458726 18.331 0.029 zr 431 168.8986774667167 4.511281492750746 1.57744730458802
2458728 18.362 0.032 zr 431 164.14446732037115 4.837844525431487 -3.1767628417575224
2458737 18.38 0.047 zr 431 161.44561321803326 6.988754531712367 -5.8756169440954125
2458761 18.285 0.041 zr 431 176.20825440886614 6.654045797775465 8.887024246737468
2458765 18.371 0.047 zr 431 162.78944739412546 7.046927231489293 -4.531782768003211
2458772 18.325 0.048 zr 431 169.83462980138165 7.508326787612616 2.513399639252981
2458772 18.24 0.042 zr 431 183.66493477333097 7.104789567368568 16.3437046112023
2458772 18.269 0.043 zr 431 178.82418273958538 7.082235836019814 11.50295257745671
2458772 18.402 0.055 zr 431 158.2072016706694 8.014281971766094 -9.114028491459266
2458776 18.302 0.081 zr 431 173.47074710471705 12.941569465865115 6.149516942588377
2458776 18.36 0.059 zr 431 164.4471112630046 8.936221820731012 -2.8741188991240847
2458776 18.428 0.052 zr 431 154.46363429499075 7.397845764136455 -12.857595867137917
2458776 18.348 0.047 zr 431 166.27472908939828 7.197800195805993 -1.0465010727303934
2458778 18.355 0.047 zr 431 165.20616464048246 7.151543537071626 -2.1150655216462155
2458778 18.271 0.061 zr 431 178.49507962985624 10.028402672495208 11.173849467727564
2458778 18.46 0.058 zr 431 149.9775479726275 8.01179673689726 -17.34368218950118
2458856 18.281 0.032 zr 431 176.85862690344004 5.212570084803287 9.537396741311369
2458856 18.319 0.042 zr 431 170.7757687176463 6.606192420136702 3.4545385555176154
2458856 18.379 0.035 zr 431 161.59437862144648 5.209187302555298 -5.7268515406821905
2458856 18.334 0.03 zr 431 168.43263732911467 4.653965758652303 1.1114071669859982
2458860 18.375 0.05 zr 431 162.1908123100145 7.469162932912692 -5.130417852114164
2458860 18.361 0.055 zr 431 164.29571960534955 8.322707245732165 -3.0255105567791247
2458860 18.282 0.052 zr 431 176.69580908017844 8.462628428436851 9.374578918049764
2458860 18.309 0.079 zr 431 172.35593745024872 12.54090910747784 5.034707288120046
2458862 18.393 0.063 zr 431 159.52408009350913 9.25640777368194 -7.797150068619544
2458864 18.273 0.031 zr 431 178.166582192443 5.087022081202619 10.84535203031433
2458864 18.368 0.037 zr 431 163.23987325972192 5.562930741501082 -4.081356902406753
2458864 18.309 0.029 zr 431 172.35593745024872 4.6036248622387 5.034707288120046
2458864 18.39 0.029 zr 431 159.96547093922922 4.272675661829921 -7.355759222899451
2458893 18.355 0.031 zr 431 165.20616464048246 4.716975524451498 -2.1150655216462155
2458912 18.354 0.025 zr 431 165.3583952352897 3.8075177587019575 -1.9628349268389798
2458916 18.355 0.022 zr 431 165.20616464048246 3.3475310173526753 -2.1150655216462155
2458943 18.359 0.023 zr 431 164.5986424217617 3.4868218993801343 -2.7225877403669756
2458954 18.329 0.025 zr 431 169.21008705906277 3.896206240464227 1.8888568969341009
2458966 18.387 0.02 zr 431 160.4080830794308 2.954826087155583 -6.913147082697861
2458972 18.343 0.032 zr 431 167.04221836747183 4.9232502004940395 -0.2790117946568387
2458986 18.341 0.018 zr 431 167.35020508416264 2.7744342302612828 0.028974922033967232
2458992 18.336 0.017 zr 431 168.12265853387817 2.6323937458755253 0.8014283717494948
2458995 18.372 0.02 zr 431 162.63958179843019 2.9959318126388093 -4.681648363698486
2458998 18.344 0.017 zr 431 166.88843762822466 2.613068834995554 -0.4327925339040064
2459001 18.322 0.026 zr 431 170.30454914419587 4.078263447736372 2.9833189820672033
2459009 18.377 0.034 zr 431 161.89232079794462 5.069683485737979 -5.428909364184051
2459012 18.368 0.016 zr 431 163.23987325972192 2.405591672000468 -4.081356902406753
2459015 18.362 0.021 zr 431 164.14446732037115 3.174835469814414 -3.1767628417575224
2459027 18.299 0.02 zr 431 173.95072730411616 3.204290812847442 6.6294971419874855
2459036 18.312 0.036 zr 431 171.88035773576806 5.6990757528124325 4.559127573639387
