mjd,filter,flux,sigflux
58355.460787000135,ZTF_r,-4.518086346665312,12.08671835491276
58356.388830999844,ZTF_r,8.161698296934652,12.35909223763578
58356.44053239981,ZTF_r,-7.011443559791084,17.533021246025392
58357.4371181,ZTF_r,-2.981769616348415,16.170239465361764
58357.50134260021,ZTF_r,-6.479122674080976,17.84004313145701
58358.46005789982,ZTF_r,-9.923320876580377,16.364503204490727
58358.47942129988,ZTF_r,-18.63283936532082,15.995422524979983
58359.45937500009,ZTF_r,1.0744838613950944,14.634267588171037
58359.50165509991,ZTF_r,4.662390270497758,15.069580387983278
58360.45659720013,ZTF_g,12.162845675836692,13.230024802719328
58363.495798599906,ZTF_r,3.9937715624153656,15.770181908202947
58363.496712999884,ZTF_r,4.553571428848772,16.05084202557836
58364.461678199936,ZTF_g,-11.093020690119374,7.0313947798092125
58364.49760420015,ZTF_r,3.7645683818301494,10.678182080649838
58365.442835600115,ZTF_g,-4.844863261919786,4.778486404138575
58365.49380790023,ZTF_r,-6.687555268796133,8.083179227454035
58366.44515050016,ZTF_g,-3.6214154281142843,4.2276830643599554
58366.446053199936,ZTF_g,-3.1441024937844846,4.761769603743966
58366.49458329985,ZTF_r,-10.304521260278044,6.830344385003104
58366.495486100204,ZTF_r,-3.542809887445813,5.94223725094404
58367.445416700095,ZTF_g,-5.007483282823654,3.498683295938383
58367.49966439977,ZTF_r,-17.991525851082923,6.12842242671377
58368.460196800064,ZTF_r,-9.561373107571981,6.709617468527597
58368.483923600055,ZTF_g,-1.1875609730648442,3.254436590666322
58369.4216781999,ZTF_r,-9.601574236227568,8.170136389604954
58369.422592599876,ZTF_r,-2.9082064396265745,7.46478305294909
58369.46034719981,ZTF_g,5.6308106953066455,4.215060959782309
58369.46126159979,ZTF_g,-3.674189898857406,3.607265438725307
58370.47931709979,ZTF_g,-7.602133288754385,4.468505581481448
58370.49986110022,ZTF_r,-8.64561523557238,7.192124753662861
58371.483425899874,ZTF_g,-2.110377927843559,4.058028545921176
58372.46067130007,ZTF_g,-1.702939701031965,3.854549684227256
