jd mag magerr filt field flux fluxerr adjflux
2459361 19.179 0.126 zg 431 77.34393235840257 8.975785678372677 -20.219923737810248
2459365 18.987 0.041 zg 431 92.30521727560146 3.4856661237917734 -5.258638820611353
2459367 18.978 0.033 zg 431 93.07354354433065 2.8288887517084653 -4.49031255188217
2459370 18.957 0.03 zg 431 94.89126776142334 2.621942623233118 -2.6725883347894808
2459373 18.964 0.033 zg 431 94.28144908484123 2.86560198155395 -3.282407011371589
2459375 18.914 0.033 zg 431 98.7247968883443 3.000653642236359 1.160940792131484
2459379 18.986 0.035 zg 431 92.39027268597428 2.9783105047413114 -5.173583410238535
2459381 18.876 0.06 zg 431 102.24127316248119 5.650061555343874 4.677417066268376
2459383 18.975 0.06 zg 431 93.33107087233728 5.157665580091551 -4.232785223875538
2459385 18.93 0.072 zg 431 97.28060187417904 6.451109674933631 -0.2832542220337757
2459391 18.97 0.077 zg 431 93.76186752194216 6.649556096177045 -3.801988574270652
2459393 18.916 0.04 zg 431 98.54310648626591 3.6304622082016125 0.979250390053096
2459395 18.915 0.04 zg 431 98.63390985154713 3.6338075278062565 1.070053755334314
2459397 18.908 0.034 zg 431 99.27188053353849 3.1087145508721576 1.708024437325676
2459400 18.971 0.034 zg 431 93.67554940762591 2.933464561558763 -3.8883066885869084
2459406 19.013 0.043 zg 431 90.12105121774246 3.569195892501539 -7.442804878470355
2459410 18.935 0.042 zg 431 96.83363810877496 3.745857219042043 -0.7302179874378538
2459412 18.896 0.051 zg 431 100.37515961901023 4.71489586341087 2.8113035227974166
2459425 18.924 0.042 zg 431 97.81968251002174 3.784000798182973 0.2558264138089186
2459427 19.013 0.054 zg 431 90.12105121774246 4.482246004536817 -7.442804878470355
2459430 18.905 0.043 zg 431 99.54655818270115 3.9424880400020563 1.982702086488331
2459435 18.96 0.034 zg 431 94.62943540045978 2.963335651436968 -2.934420695753033
2459440 18.903 0.049 zg 431 99.73009871462355 4.50088595701309 2.1662426184107346
2459443 19.083 0.153 zg 431 84.49407364597693 11.906753418722333 -13.069782450235891
2459447 18.757 0.089 zg 431 114.08439638531719 9.351729484377964 16.520540289104375
