# Instrumental magnitude: -7.678 mag
# DoPHOT object type: 1
2458736.97630 18.402 0.021    297.890     28.102 0 3
2458736.97721 18.376 0.021    334.674     28.759 0 1
2458737.96980 18.395 0.025    307.360     33.974 0 3
2458738.71295 18.538 0.068    124.785     81.207 0 1
2458738.92892 18.352 0.041    368.278     58.631 0 3
2458739.71205 18.398 0.056    304.353     75.847 0 1
2458740.71187 18.390 0.075    314.633    103.447 0 1
2458741.70878 18.425 0.062    267.402     82.844 0 1
2458743.70948 18.511 0.055    157.679     67.087 0 1
2458743.89897 18.317 0.056    418.784     83.068 0 3
2458744.70854 18.335 0.038    392.298     54.678 0 1
2458745.70873 18.347 0.028    375.261     39.552 0 1
2458747.70875 18.376 0.024    334.697     33.042 0 1
2458748.70766 18.398 0.027    304.096     37.057 0 1
2458748.76450 18.422 0.023    271.369     30.888 0 3
2458749.70954 18.349 0.022    371.769     31.679 0 1
2458749.83517 18.374 0.021    336.724     29.314 0 3
2458751.70757 18.435 0.025    253.877     32.762 0 1
2458754.70745 18.380 0.022    328.847     30.631 0 1
2458758.85626 18.348 0.021    373.341     29.574 0 3
2458759.77240 18.334 0.021    394.053     30.182 0 3
2458760.70910 18.337 0.022    389.028     31.893 0 1
2458760.85445 18.374 0.022    337.166     30.850 0 3
2458761.70817 18.309 0.027    429.883     40.501 0 1
2458762.70742 18.332 0.026    397.078     38.259 0 1
2458762.80004 18.298 0.022    446.743     32.888 0 3
2458763.70892 18.340 0.028    384.498     41.007 0 1
2458764.68973 18.312 0.031    425.877     46.318 0 1
2458765.69043 18.318 0.031    416.977     46.034 0 1
2458766.68898 18.401 0.046    300.229     62.254 0 1
2458768.68710 18.339 0.050    386.708     71.671 0 1
2458769.68702 18.359 0.057    358.189     80.078 0 1
2458770.68707 18.261 0.058    502.827     90.425 0 1
2458771.68729 18.315 0.057    421.735     84.036 0 1
2458772.68767 18.389 0.046    316.107     63.446 0 1
2458774.68618 18.358 0.031    358.627     43.214 0 1
2458775.68628 18.360 0.021    356.409     30.029 0 1
2458776.68550 18.312 0.021    426.283     30.620 0 1
2458777.68595 18.390 0.025    314.405     34.012 0 1
2458778.68613 18.368 0.023    345.368     32.180 0 1
2458779.68592 18.387 0.022    318.545     30.712 0 1
2458782.68418 18.443 0.024    242.964     31.828 0 1
2458783.68522 18.392 0.025    311.421     33.800 0 1
2458785.68488 18.418 0.023    276.343     30.412 0 1
2458786.69366 18.471 0.027    207.274     33.998 0 1
2458788.68450 18.415 0.027    280.565     35.850 0 1
2458789.68490 18.473 0.027    204.758     34.529 0 1
2458790.76477 18.452 0.025    232.088     31.988 0 1
2458791.68854 18.458 0.030    224.105     39.210 0 1
2458793.68734 18.387 0.029    319.271     39.815 0 1
2458793.70656 18.433 0.030    257.238     39.664 0 1
2458795.68878 18.464 0.043    215.667     54.948 0 1
2458796.68260 18.500 0.050    170.431     62.522 0 1
2458798.65372 18.499 0.063    171.853     77.895 0 1
2458800.68628 18.413 0.052    283.314     69.732 0 1
2458802.72062 18.446 0.037    240.038     48.542 0 1
2458803.68675 18.360 0.102    357.124    144.793 0 1
2458806.68960 18.475 0.025    202.252     32.024 0 1
2458811.68399 18.526 0.029    139.272     34.920 0 1
2458820.65822 18.316 0.044    419.359     65.051 0 1
2458830.70466 18.486 0.046    188.506     57.778 0 1
2458836.61163 18.403 0.023    297.370     30.696 0 1
2458837.64310 18.410 0.024    287.123     31.917 0 1
