jd mag magerr filt field
2459910 18.647 0.026 zg 414
2459922 18.481 0.069 zg 414
2459922 18.559 0.059 zg 414
2459923 18.545 0.054 zg 414
2459923 18.715 0.117 zg 414
2459923 18.621 0.06 zg 414
2459924 18.54 0.099 zg 414
2459932 18.664 0.026 zg 414
2459932 18.678 0.024 zg 414
2459932 18.682 0.026 zg 414
2459934 18.686 0.029 zg 414
2459934 18.695 0.029 zg 414
2459935 18.559 0.032 zg 414
2459935 18.671 0.025 zg 414
2459936 18.713 0.027 zg 414
2459936 18.665 0.028 zg 414
2459936 18.56 0.025 zg 414
2459940 18.662 0.04 zg 414
2459951 18.858 0.116 zg 414
2459953 18.513 0.097 zg 414
2459958 18.783 0.12 zg 414
2459968 18.612 0.03 zg 414
2459968 18.711 0.031 zg 414
2459972 18.651 0.028 zg 414
2459972 18.594 0.026 zg 414
2459977 18.542 0.073 zg 414
2459983 18.645 0.057 zg 414
2459983 18.687 0.061 zg 414
2459984 18.582 0.066 zg 414
2459987 18.674 0.037 zg 414
2459991 18.656 0.034 zg 414
2459994 18.698 0.03 zg 414
2459994 18.688 0.048 zg 414
2459996 18.675 0.027 zg 414
2460013 18.698 0.063 zg 414
2460031 18.613 0.033 zg 414
2460036 18.753 0.098 zg 414
2460045 18.759 0.026 zg 414
2460049 18.813 0.032 zg 414
2460051 18.832 0.026 zg 414
2460055 18.677 0.032 zg 414
2460057 18.745 0.033 zg 414
2460059 18.704 0.04 zg 414
2460061 18.695 0.042 zg 414
2460065 18.646 0.059 zg 414
2458218 19.368 0.065 zr 414
2458223 19.438 0.057 zr 414
2458223 19.414 0.06 zr 414
2458227 19.527 0.078 zr 414
2458231 19.704 0.145 zr 414
2458245 19.425 0.08 zr 414
2458391 19.281 0.138 zr 414
2458424 19.593 0.115 zr 414
2458427 19.744 0.103 zr 414
2458427 19.622 0.093 zr 414
2458427 19.67 0.094 zr 414
2458429 19.522 0.067 zr 414
2458430 19.634 0.076 zr 414
2458430 19.696 0.08 zr 414
2458430 19.775 0.073 zr 414
2458433 19.627 0.078 zr 414
2458439 19.659 0.065 zr 414
2458439 19.567 0.059 zr 414
2458439 19.542 0.083 zr 414
2458443 19.519 0.084 zr 414
2458447 19.321 0.124 zr 414
2458448 19.722 0.143 zr 414
2458448 19.651 0.167 zr 414
2458449 19.998 0.215 zr 414
2458449 19.562 0.131 zr 414
2458449 19.464 0.139 zr 414
2458455 19.641 0.075 zr 414
2458465 19.741 0.081 zr 414
2458465 19.681 0.074 zr 414
2458468 19.558 0.056 zr 414
2458468 19.619 0.064 zr 414
2458469 19.818 0.071 zr 414
2458472 19.783 0.095 zr 414
2458472 19.584 0.076 zr 414
2458481 19.707 0.102 zr 414
2458487 19.887 0.097 zr 414
2458487 19.897 0.089 zr 414
2458491 19.875 0.1 zr 414
2458507 19.734 0.105 zr 414
2458508 19.929 0.119 zr 414
2458513 19.68 0.082 zr 414
2458523 19.89 0.078 zr 414
2458526 19.759 0.096 zr 414
2458567 19.822 0.095 zr 414
2458584 19.695 0.104 zr 414
2458587 19.953 0.399 zr 414
2458592 19.586 0.156 zr 414
2458599 19.713 0.075 zr 414
2458608 19.86 0.13 zr 414
2458757 19.539 0.087 zr 414
2458759 19.487 0.092 zr 414
2458762 19.482 0.079 zr 414
2458764 19.421 0.072 zr 414
2458770 19.317 0.134 zr 414
2458778 19.386 0.128 zr 414
2458788 19.664 0.105 zr 414
2458791 19.509 0.072 zr 414
2458794 19.587 0.086 zr 414
2458797 19.355 0.066 zr 414
2458799 19.407 0.106 zr 414
2458803 19.595 0.147 zr 414
2458806 19.27 0.087 zr 414
2458828 19.576 0.114 zr 414
2458831 19.172 0.125 zr 414
2458853 19.398 0.046 zr 414
2458856 19.359 0.089 zr 414
2458860 19.187 0.172 zr 414
2458863 19.335 0.077 zr 414
2458867 19.316 0.05 zr 414
2458873 19.238 0.051 zr 414
2458875 19.44 0.05 zr 414
2458875 19.417 0.042 zr 414
2458877 19.309 0.056 zr 414
